Model,TargetType,SalePrice,PredictedPrice,Residual,PercentError,AbsolutePercentError,Neighborhood,OverallQual,TotalSF,HasGarage
Lasso,Log,143000,159005.63787359162,-16005.637873591622,-0.1119275375775638,0.1119275375775638,Mitchel,5,2158,1
Ridge,Actual,307000,270129.67199629365,36870.32800370635,0.12009878828568844,0.12009878828568844,Somerst,8,3380,1
Ridge,Log,307000,266534.60293967015,40465.39706032985,0.13180911094569983,0.13180911094569983,Somerst,8,3380,1
Lasso,Actual,307000,269261.58597975085,37738.414020249154,0.12292643003338487,0.12292643003338487,Somerst,8,3380,1
Lasso,Log,307000,260871.24775573067,46128.75224426933,0.150256521968304,0.150256521968304,Somerst,8,3380,1
Ridge,Actual,200000,247084.40128299978,-47084.40128299978,-0.2354220064149989,0.2354220064149989,NWAmes,7,3197,1
Ridge,Log,200000,240047.8403900626,-40047.8403900626,-0.200239201950313,0.200239201950313,NWAmes,7,3197,1
Lasso,Actual,200000,245129.04349554004,-45129.04349554004,-0.2256452174777002,0.2256452174777002,NWAmes,7,3197,1
Lasso,Log,200000,235121.36904396582,-35121.369043965824,-0.1756068452198291,0.1756068452198291,NWAmes,7,3197,1
Ridge,Actual,129900,177267.03434186688,-47367.03434186688,-0.364642296704133,0.364642296704133,OldTown,7,2726,1
Ridge,Log,129900,160363.81320161326,-30463.81320161326,-0.2345174226452137,0.2345174226452137,OldTown,7,2726,1
Lasso,Actual,129900,186786.538670955,-56886.53867095499,-0.43792562487263276,0.43792562487263276,OldTown,7,2726,1
Lasso,Log,129900,166666.36688569674,-36766.36688569674,-0.28303592675671085,0.28303592675671085,OldTown,7,2726,1
Ridge,Actual,118000,89539.55130921253,28460.448690787467,0.24119024314226667,0.24119024314226667,BrkSide,5,2068,1
Ridge,Log,118000,108164.81277559327,9835.187224406734,0.08334904427463334,0.08334904427463334,BrkSide,5,2068,1
Lasso,Actual,118000,94087.62325249547,23912.37674750453,0.2026472605720723,0.2026472605720723,BrkSide,5,2068,1
Lasso,Log,118000,113008.2113375286,4991.788662471401,0.04230329374975764,0.04230329374975764,BrkSide,5,2068,1
Ridge,Actual,129500,121592.56688879317,7907.433111206832,0.061061259545998704,0.061061259545998704,Sawyer,5,2080,1
Ridge,Log,129500,122236.21419624415,7263.785803755847,0.05609101006761272,0.05609101006761272,Sawyer,5,2080,1
Lasso,Actual,129500,121941.20908197286,7558.790918027138,0.0583690418380474,0.0583690418380474,Sawyer,5,2080,1
Lasso,Log,129500,122122.35575451015,7377.64424548985,0.05697022583389846,0.05697022583389846,Sawyer,5,2080,1
Ridge,Actual,345000,331404.51344071655,13595.486559283454,0.03940720741821291,0.03940720741821291,NridgHt,9,3499,1
Ridge,Log,345000,367188.51455257356,-22188.514552573557,-0.06431453493499582,0.06431453493499582,NridgHt,9,3499,1
Lasso,Actual,345000,329991.0806846737,15008.919315326319,0.04350411395746759,0.04350411395746759,NridgHt,9,3499,1
Lasso,Log,345000,363820.137254004,-18820.137254004017,-0.05455112247537396,0.05455112247537396,NridgHt,9,3499,1
Ridge,Actual,144000,129708.62439253234,14291.375607467664,0.09924566394074767,0.09924566394074767,Sawyer,5,1824,1
Ridge,Log,144000,128269.98948011767,15730.01051988233,0.10923618416584951,0.10923618416584951,Sawyer,5,1824,1
Lasso,Actual,144000,127569.0921864121,16430.907813587895,0.11410352648324927,0.11410352648324927,Sawyer,5,1824,1
Lasso,Log,144000,126927.2500196083,17072.7499803917,0.11856076375272015,0.11856076375272015,Sawyer,5,1824,1
Ridge,Actual,279500,240444.31799192086,39055.68200807914,0.13973410378561407,0.13973410378561407,CollgCr,7,2988,1
Ridge,Log,279500,230092.1376318098,49407.862368190195,0.1767723161652601,0.1767723161652601,CollgCr,7,2988,1
Lasso,Actual,279500,235102.83559539786,44397.16440460214,0.15884495314705596,0.15884495314705596,CollgCr,7,2988,1
Lasso,Log,279500,228060.73575098827,51439.26424901173,0.18404030142759115,0.18404030142759115,CollgCr,7,2988,1
Ridge,Actual,157000,161201.1635890535,-4201.163589053496,-0.026759003751933096,0.026759003751933096,NAmes,6,2506,1
Ridge,Log,157000,147917.08589859982,9082.91410140018,0.057852956059873756,0.057852956059873756,NAmes,6,2506,1
Lasso,Actual,157000,160657.8711950853,-3657.8711950852885,-0.02329854264385534,0.02329854264385534,NAmes,6,2506,1
Lasso,Log,157000,144748.39236996963,12251.607630030368,0.07803571738872846,0.07803571738872846,NAmes,6,2506,1
Ridge,Actual,132000,154814.95389492513,-22814.95389492513,-0.17284055981003885,0.17284055981003885,BrkSide,7,1686,1
Ridge,Log,132000,146629.45653512565,-14629.456535125646,-0.11082921617519428,0.11082921617519428,BrkSide,7,1686,1
Lasso,Actual,132000,156119.05089930742,-24119.050899307418,-0.18272008257051076,0.18272008257051076,BrkSide,7,1686,1
Lasso,Log,132000,147365.97230014123,-15365.972300141235,-0.11640888106167602,0.11640888106167602,BrkSide,7,1686,1
Ridge,Actual,149000,169471.09672451878,-20471.09672451878,-0.13738991090281058,0.13738991090281058,NAmes,6,2008,1
Ridge,Log,149000,157937.00008980036,-8937.000089800364,-0.059979866374499084,0.059979866374499084,NAmes,6,2008,1
Lasso,Actual,149000,171289.57584093936,-22289.57584093936,-0.14959446873113666,0.14959446873113666,NAmes,6,2008,1
Lasso,Log,149000,163313.06269089138,-14313.062690891384,-0.09606082342880123,0.09606082342880123,NAmes,6,2008,1
Ridge,Actual,90000,99256.56970827382,-9256.569708273819,-0.10285077453637577,0.10285077453637577,Sawyer,4,1296,1
Ridge,Log,90000,104199.9574628381,-14199.957462838094,-0.15777730514264549,0.15777730514264549,Sawyer,4,1296,1
Lasso,Actual,90000,95973.64035393066,-5973.640353930663,-0.0663737817103407,0.0663737817103407,Sawyer,4,1296,1
Lasso,Log,90000,107227.95324614795,-17227.953246147954,-0.19142170273497727,0.19142170273497727,Sawyer,4,1296,1
Ridge,Actual,159000,166248.52869513916,-7248.528695139161,-0.04558823078703875,0.04558823078703875,SawyerW,5,2228,1
Ridge,Log,159000,163196.35712847117,-4196.357128471165,-0.026392183197931858,0.026392183197931858,SawyerW,5,2228,1
Lasso,Actual,159000,160757.14554797916,-1757.145547979162,-0.011051229861504164,0.011051229861504164,SawyerW,5,2228,1
Lasso,Log,159000,158188.33109805387,811.6689019461337,0.005104835861296438,0.005104835861296438,SawyerW,5,2228,1
Ridge,Actual,139000,121792.78200956018,17207.21799043982,0.1237929351830203,0.1237929351830203,NAmes,5,2368,1
Ridge,Log,139000,122383.60926326284,16616.390736737158,0.11954237940098675,0.11954237940098675,NAmes,5,2368,1
Lasso,Actual,139000,123500.36637898354,15499.633621016459,0.111508155546881,0.111508155546881,NAmes,5,2368,1
Lasso,Log,139000,123632.34086544068,15367.659134559319,0.11055869880977927,0.11055869880977927,NAmes,5,2368,1
Ridge,Actual,325300,293543.114438763,31756.885561236995,0.09762338014521056,0.09762338014521056,NridgHt,8,3534,1
Ridge,Log,325300,304207.77318787936,21092.226812120643,0.06483930775321439,0.06483930775321439,NridgHt,8,3534,1
Lasso,Actual,325300,288664.99800015555,36635.00199984445,0.1126191269592513,0.1126191269592513,NridgHt,8,3534,1
Lasso,Log,325300,297346.51306579605,27953.486934203946,0.08593140772887779,0.08593140772887779,NridgHt,8,3534,1
Ridge,Actual,139400,128366.07366859549,11033.92633140451,0.07915298659544125,0.07915298659544125,IDOTRR,7,1745,1
Ridge,Log,139400,134155.00649824896,5244.993501751043,0.03762549140423991,0.03762549140423991,IDOTRR,7,1745,1
Lasso,Actual,139400,137602.59375745436,1797.406242545636,0.012893875484545451,0.012893875484545451,IDOTRR,7,1745,1
Lasso,Log,139400,135606.06638524396,3793.933614756039,0.027216166533400567,0.027216166533400567,IDOTRR,7,1745,1
Ridge,Actual,230000,250373.47430761633,-20373.47430761633,-0.08858032307659273,0.08858032307659273,CollgCr,8,3572,1
Ridge,Log,230000,240183.9678903357,-10183.967890335713,-0.04427812126232918,0.04427812126232918,CollgCr,8,3572,1
Lasso,Actual,230000,251305.77444928413,-21305.77444928413,-0.09263380195340926,0.09263380195340926,CollgCr,8,3572,1
Lasso,Log,230000,242105.26912262768,-12105.26912262768,-0.05263160488098991,0.05263160488098991,CollgCr,8,3572,1
Ridge,Actual,129900,149311.11040579985,-19411.110405799845,-0.14943118095303962,0.14943118095303962,MeadowV,5,2100,1
Ridge,Log,129900,150938.70124809313,-21038.70124809313,-0.16196074863813034,0.16196074863813034,MeadowV,5,2100,1
Lasso,Actual,129900,140818.1486990353,-10918.148699035286,-0.08405041338749258,0.08405041338749258,MeadowV,5,2100,1
Lasso,Log,129900,148691.83105672846,-18791.831056728464,-0.14466382645672413,0.14466382645672413,MeadowV,5,2100,1
Ridge,Actual,154000,152022.6517549338,1977.3482450662123,0.012839923669261118,0.012839923669261118,Sawyer,5,2120,1
Ridge,Log,154000,158481.20982675656,-4481.20982675656,-0.02909876510880883,0.02909876510880883,Sawyer,5,2120,1
Lasso,Actual,154000,147380.6676891297,6619.33231087029,0.04298267734331357,0.04298267734331357,Sawyer,5,2120,1
Lasso,Log,154000,157357.2929363879,-3357.2929363879084,-0.021800603483038368,0.021800603483038368,Sawyer,5,2120,1
Ridge,Actual,256300,264043.96535830095,-7743.965358300949,-0.030214457113932693,0.030214457113932693,NridgHt,8,3166,1
Ridge,Log,256300,248160.81374355356,8139.186256446439,0.031756481687266636,0.031756481687266636,NridgHt,8,3166,1
Lasso,Actual,256300,263197.8445627766,-6897.84456277662,-0.02691316645640507,0.02691316645640507,NridgHt,8,3166,1
Lasso,Log,256300,252206.79455083475,4093.2054491652525,0.01597036851020387,0.01597036851020387,NridgHt,8,3166,1
Ridge,Actual,134800,130908.89230548732,3891.1076945126842,0.02886578408392199,0.02886578408392199,NAmes,5,1800,1
Ridge,Log,134800,134796.182618106,3.8173818940122146,2.831885678050604e-05,2.831885678050604e-05,NAmes,5,1800,1
Lasso,Actual,134800,128682.01391013653,6117.986089863465,0.04538565348563402,0.04538565348563402,NAmes,5,1800,1
Lasso,Log,134800,131618.51143931618,3181.4885606838216,0.02360154718608176,0.02360154718608176,NAmes,5,1800,1
Ridge,Actual,306000,276920.86342053756,29079.136579462443,0.09502985810281844,0.09502985810281844,NridgHt,8,3408,1
Ridge,Log,306000,273662.1255214415,32337.874478558486,0.10567932836130224,0.10567932836130224,NridgHt,8,3408,1
Lasso,Actual,306000,279677.3444585628,26322.655541437212,0.08602175013541573,0.08602175013541573,NridgHt,8,3408,1
Lasso,Log,306000,277906.45577331894,28093.544226681057,0.09180896806104921,0.09180896806104921,NridgHt,8,3408,1
Ridge,Actual,207500,193504.0734491143,13995.926550885692,0.06745024843800333,0.06745024843800333,NAmes,5,3084,1
Ridge,Log,207500,177683.93996944584,29816.06003055416,0.1436918555689357,0.1436918555689357,NAmes,5,3084,1
Lasso,Actual,207500,184707.88067690714,22792.119323092862,0.10984153890647162,0.10984153890647162,NAmes,5,3084,1
Lasso,Log,207500,170846.05099025392,36653.94900974608,0.17664553739636665,0.17664553739636665,NAmes,5,3084,1
Ridge,Actual,68500,54612.05842508425,13887.941574915749,0.20274367262650728,0.20274367262650728,BrkSide,4,1040,1
Ridge,Log,68500,83393.69437670278,-14893.694376702784,-0.2174261952803326,0.2174261952803326,BrkSide,4,1040,1
Lasso,Actual,68500,52600.983307464514,15899.016692535486,0.23210243346767134,0.23210243346767134,BrkSide,4,1040,1
Lasso,Log,68500,83790.93092113311,-15290.930921133113,-0.2232252689216513,0.2232252689216513,BrkSide,4,1040,1
Ridge,Actual,40000,71185.37206422964,-31185.37206422964,-0.779634301605741,0.779634301605741,IDOTRR,4,1966,1
Ridge,Log,40000,88896.737321853,-48896.737321853,-1.222418433046325,1.222418433046325,IDOTRR,4,1966,1
Lasso,Actual,40000,71311.89075777218,-31311.890757772184,-0.7827972689443046,0.7827972689443046,IDOTRR,4,1966,1
Lasso,Log,40000,88813.19732857813,-48813.19732857813,-1.2203299332144533,1.2203299332144533,IDOTRR,4,1966,1
Ridge,Actual,149350,130834.88571455472,18515.114285445277,0.12397130422126064,0.12397130422126064,Sawyer,5,2456,1
Ridge,Log,149350,134732.54178912673,14617.458210873272,0.09787384138515749,0.09787384138515749,Sawyer,5,2456,1
Lasso,Actual,149350,126992.14052573004,22357.859474269964,0.14970110126729136,0.14970110126729136,Sawyer,5,2456,1
Lasso,Log,149350,131664.88444056662,17685.115559433383,0.1184138972844552,0.1184138972844552,Sawyer,5,2456,1
Ridge,Actual,179900,205986.48435400217,-26086.48435400217,-0.1450054716731638,0.1450054716731638,CollgCr,8,2468,1
Ridge,Log,179900,198846.55650936026,-18946.556509360264,-0.10531715680578245,0.10531715680578245,CollgCr,8,2468,1
Lasso,Actual,179900,212052.7673101036,-32152.767310103605,-0.17872577715455035,0.17872577715455035,CollgCr,8,2468,1
Lasso,Log,179900,203044.37249580302,-23144.37249580302,-0.12865132015454708,0.12865132015454708,CollgCr,8,2468,1
Ridge,Actual,165500,155606.72954582586,9893.27045417414,0.059778069209511425,0.059778069209511425,NAmes,5,3098,1
Ridge,Log,165500,151106.91309261203,14393.086907387973,0.08696729249177022,0.08696729249177022,NAmes,5,3098,1
Lasso,Actual,165500,159098.563705211,6401.4362947889895,0.038679373382410814,0.038679373382410814,NAmes,5,3098,1
Lasso,Log,165500,148644.63146126698,16855.36853873302,0.1018451271222539,0.1018451271222539,NAmes,5,3098,1
Ridge,Actual,277500,262685.8173811487,14814.182618851308,0.05338444186973444,0.05338444186973444,NridgHt,9,3122,1
Ridge,Log,277500,253895.7203741929,23604.279625807103,0.0850604671200256,0.0850604671200256,NridgHt,9,3122,1
Lasso,Actual,277500,265793.8310765399,11706.168923460122,0.04218439251697341,0.04218439251697341,NridgHt,9,3122,1
Lasso,Log,277500,255247.02683543906,22252.973164560943,0.0801908942867061,0.0801908942867061,NridgHt,9,3122,1
Ridge,Actual,309000,282807.0637614831,26192.93623851688,0.08476678394342033,0.08476678394342033,NridgHt,8,3569,1
Ridge,Log,309000,295916.0448504037,13083.955149596324,0.04234289692425995,0.04234289692425995,NridgHt,8,3569,1
Lasso,Actual,309000,282734.26513422455,26265.73486577545,0.08500237820639303,0.08500237820639303,NridgHt,8,3569,1
Lasso,Log,309000,295199.07149071305,13800.928509286954,0.044663199059181084,0.044663199059181084,NridgHt,8,3569,1
Ridge,Actual,145000,151311.90168094376,-6311.90168094376,-0.04353035642030179,0.04353035642030179,CollgCr,5,2194,1
Ridge,Log,145000,149369.93832745482,-4369.938327454816,-0.030137505706584942,0.030137505706584942,CollgCr,5,2194,1
Lasso,Actual,145000,145730.57260939013,-730.5726093901321,-0.005038431788897463,0.005038431788897463,CollgCr,5,2194,1
Lasso,Log,145000,146752.82448433165,-1752.8244843316497,-0.01208844471952862,0.01208844471952862,CollgCr,5,2194,1
Ridge,Actual,153000,166398.52072328827,-13398.520723288268,-0.08757203087116515,0.08757203087116515,NAmes,5,2594,1
Ridge,Log,153000,146560.22022372662,6439.779776273383,0.04209006389721165,0.04209006389721165,NAmes,5,2594,1
Lasso,Actual,153000,164370.9456438775,-11370.945643877494,-0.07431990616913395,0.07431990616913395,NAmes,5,2594,1
Lasso,Log,153000,144030.4590947267,8969.540905273287,0.05862445036126331,0.05862445036126331,NAmes,5,2594,1
Ridge,Actual,109000,130264.82766750382,-21264.82766750382,-0.19509016208719102,0.19509016208719102,NAmes,5,2114,1
Ridge,Log,109000,133165.90427348606,-24165.904273486056,-0.22170554379345006,0.22170554379345006,NAmes,5,2114,1
Lasso,Actual,109000,130746.68062323742,-21746.680623237422,-0.1995108314058479,0.1995108314058479,NAmes,5,2114,1
Lasso,Log,109000,134079.940374212,-25079.94037421199,-0.23009119609368797,0.23009119609368797,NAmes,5,2114,1
Ridge,Actual,82000,70878.42486347849,11121.575136521511,0.13562896507953062,0.13562896507953062,Edwards,4,1152,0
Ridge,Log,82000,78179.14392436329,3820.856075636708,0.04659580580044766,0.04659580580044766,Edwards,4,1152,0
Lasso,Actual,82000,66926.95847228618,15073.041527713824,0.18381757960626613,0.18381757960626613,Edwards,4,1152,0
Lasso,Log,82000,82674.00304541597,-674.0030454159714,-0.008219549334341115,0.008219549334341115,Edwards,4,1152,0
Ridge,Actual,160000,165363.84218929353,-5363.842189293529,-0.03352401368308456,0.03352401368308456,NAmes,6,2412,1
Ridge,Log,160000,155434.35657819544,4565.6434218045615,0.02853527138627851,0.02853527138627851,NAmes,6,2412,1
Lasso,Actual,160000,165890.6055381828,-5890.605538182805,-0.03681628461364253,0.03681628461364253,NAmes,6,2412,1
Lasso,Log,160000,154001.3039764462,5998.696023553814,0.037491850147211334,0.037491850147211334,NAmes,6,2412,1
Ridge,Actual,170000,144358.3347474512,25641.665252548788,0.15083332501499286,0.15083332501499286,Timber,5,2678,1
Ridge,Log,170000,142605.2494893096,27394.750510690414,0.16114559123935537,0.16114559123935537,Timber,5,2678,1
Lasso,Actual,170000,141665.7807200913,28334.21927990869,0.16667187811710996,0.16667187811710996,Timber,5,2678,1
Lasso,Log,170000,139420.07389268253,30579.92610731747,0.17988191827833808,0.17988191827833808,Timber,5,2678,1
Ridge,Actual,144000,143881.53813669505,118.46186330495402,0.0008226518285066252,0.0008226518285066252,SawyerW,5,1724,1
Ridge,Log,144000,144254.81275446038,-254.81275446037762,-0.0017695330170859557,0.0017695330170859557,SawyerW,5,1724,1
Lasso,Actual,144000,139724.36110343586,4275.638896564138,0.029691936781695405,0.029691936781695405,SawyerW,5,1724,1
Lasso,Log,144000,143619.14021495823,380.85978504177183,0.0026448596183456376,0.0026448596183456376,SawyerW,5,1724,1
Ridge,Actual,130250,121687.48524239141,8562.514757608587,0.06573907683384712,0.06573907683384712,CollgCr,5,1876,1
Ridge,Log,130250,130018.43584344839,231.56415655161254,0.0017778438122964494,0.0017778438122964494,CollgCr,5,1876,1
Lasso,Actual,130250,121819.65231331688,8430.347686683119,0.06472435843902587,0.06472435843902587,CollgCr,5,1876,1
Lasso,Log,130250,129768.51616677677,481.48383322323207,0.0036966129230190563,0.0036966129230190563,CollgCr,5,1876,1
Ridge,Actual,141000,122664.4772890135,18335.522710986494,0.13003916816302477,0.13003916816302477,NAmes,5,2300,1
Ridge,Log,141000,127112.24301119882,13887.756988801179,0.09849473041702964,0.09849473041702964,NAmes,5,2300,1
Lasso,Actual,141000,122193.01236230528,18806.98763769472,0.1333828910474803,0.1333828910474803,NAmes,5,2300,1
Lasso,Log,141000,126764.39777977823,14235.602220221772,0.10096171787391328,0.10096171787391328,NAmes,5,2300,1
Ridge,Actual,319900,269446.98369135574,50453.01630864426,0.15771496189010398,0.15771496189010398,NridgHt,9,3504,1
Ridge,Log,319900,256433.42400069462,63466.57599930538,0.1983950484504701,0.1983950484504701,NridgHt,9,3504,1
Lasso,Actual,319900,272359.94638131995,47540.053618680045,0.14860910790459533,0.14860910790459533,NridgHt,9,3504,1
Lasso,Log,319900,264034.60035844444,55865.39964155556,0.17463394698829496,0.17463394698829496,NridgHt,9,3504,1
Ridge,Actual,239686,274700.07630834123,-35014.07630834123,-0.14608311002036511,0.14608311002036511,Mitchel,7,3583,1
Ridge,Log,239686,257721.63363388364,-18035.63363388364,-0.07524692153018382,0.07524692153018382,Mitchel,7,3583,1
Lasso,Actual,239686,271506.83844136854,-31820.83844136854,-0.13276052185512938,0.13276052185512938,Mitchel,7,3583,1
Lasso,Log,239686,254561.2640797291,-14875.264079729095,-0.06206146408104393,0.06206146408104393,Mitchel,7,3583,1
Ridge,Actual,249700,245193.5451081459,4506.454891854111,0.01804747653926356,0.01804747653926356,Somerst,8,3312,1
Ridge,Log,249700,238382.64300178475,11317.356998215255,0.04532381657274832,0.04532381657274832,Somerst,8,3312,1
Lasso,Actual,249700,248327.6237153372,1372.3762846628088,0.005496100459202278,0.005496100459202278,Somerst,8,3312,1
Lasso,Log,249700,241898.98826322873,7801.011736771266,0.031241536791234547,0.031241536791234547,Somerst,8,3312,1
Ridge,Actual,113000,68189.12129721449,44810.878702785514,0.39655644869721696,0.39655644869721696,OldTown,4,2188,0
Ridge,Log,113000,81650.33592848833,31349.664071511666,0.27743065550010326,0.27743065550010326,OldTown,4,2188,0
Lasso,Actual,113000,68451.23767562282,44548.76232437718,0.3942368347290016,0.3942368347290016,OldTown,4,2188,0
Lasso,Log,113000,84637.16877415753,28362.83122584247,0.25099850642338467,0.25099850642338467,OldTown,4,2188,0
Ridge,Actual,127000,127439.2193418986,-439.21934189859894,-0.003458420014949598,0.003458420014949598,Sawyer,5,1910,1
Ridge,Log,127000,131047.09452416714,-4047.0945241671434,-0.03186688601706412,0.03186688601706412,Sawyer,5,1910,1
Lasso,Actual,127000,123879.34790282932,3120.6520971706777,0.02457206375724943,0.02457206375724943,Sawyer,5,1910,1
Lasso,Log,127000,129774.90875479726,-2774.9087547972595,-0.02184967523462409,0.02184967523462409,Sawyer,5,1910,1
Ridge,Actual,177000,169726.9233101534,7273.07668984661,0.04109082875619554,0.04109082875619554,Gilbert,6,2264,1
Ridge,Log,177000,168573.10547714622,8426.894522853778,0.04760957357544507,0.04760957357544507,Gilbert,6,2264,1
Lasso,Actual,177000,172775.1499736355,4224.850026364496,0.02386920918849998,0.02386920918849998,Gilbert,6,2264,1
Lasso,Log,177000,169454.93102652417,7545.068973475834,0.04262750832472223,0.04262750832472223,Gilbert,6,2264,1
Ridge,Actual,114500,135186.31549934504,-20686.315499345044,-0.18066651091131042,0.18066651091131042,BrkSide,6,1632,1
Ridge,Log,114500,133830.7782863826,-19330.778286382614,-0.16882775795967347,0.16882775795967347,BrkSide,6,1632,1
Lasso,Actual,114500,136642.90356263827,-22142.90356263827,-0.1933878040405089,0.1933878040405089,BrkSide,6,1632,1
Lasso,Log,114500,132229.07873942732,-17729.07873942732,-0.1548391156281862,0.1548391156281862,BrkSide,6,1632,1
Ridge,Actual,110000,108189.1486285158,1810.8513714841974,0.016462285195310886,0.016462285195310886,IDOTRR,5,1632,1
Ridge,Log,110000,114671.60033226493,-4671.600332264934,-0.04246909392968122,0.04246909392968122,IDOTRR,5,1632,1
Lasso,Actual,110000,111134.63527909598,-1134.635279095979,-0.010314866173599809,0.010314866173599809,IDOTRR,5,1632,1
Lasso,Log,110000,118836.68656347695,-8836.68656347695,-0.08033351421342681,0.08033351421342681,IDOTRR,5,1632,1
Ridge,Actual,385000,332085.2496750053,52914.750324994675,0.1374409099350511,0.1374409099350511,Veenker,9,3684,1
Ridge,Log,385000,332137.5281199123,52862.47188008769,0.13730512176646154,0.13730512176646154,Veenker,9,3684,1
Lasso,Actual,385000,341614.81590528245,43385.18409471755,0.11268878985640922,0.11268878985640922,Veenker,9,3684,1
Lasso,Log,385000,336639.26031358045,48360.73968641955,0.125612310873817,0.125612310873817,Veenker,9,3684,1
Ridge,Actual,130000,121424.93085672727,8575.069143272733,0.06596207033286718,0.06596207033286718,NAmes,5,1744,1
Ridge,Log,130000,124342.31691141581,5657.683088584192,0.04352063914295532,0.04352063914295532,NAmes,5,1744,1
Lasso,Actual,130000,124352.03106134388,5647.968938656122,0.0434459149127394,0.0434459149127394,NAmes,5,1744,1
Lasso,Log,130000,125449.1677225036,4550.832277496404,0.03500640213458772,0.03500640213458772,NAmes,5,1744,1
Ridge,Actual,180500,196729.53806770052,-16229.538067700516,-0.08991433832521062,0.08991433832521062,NAmes,6,2850,1
Ridge,Log,180500,180145.86811157412,354.1318884258799,0.0019619495203649856,0.0019619495203649856,NAmes,6,2850,1
Lasso,Actual,180500,181774.89616972936,-1274.8961697293562,-0.007063136674400865,0.007063136674400865,NAmes,6,2850,1
Lasso,Log,180500,168052.76688251752,12447.23311748248,0.06895974026306083,0.06895974026306083,NAmes,6,2850,1
Ridge,Actual,172500,230562.66002724742,-58062.66002724742,-0.33659513059273866,0.33659513059273866,Somerst,8,2709,1
Ridge,Log,172500,212871.09336624105,-40371.09336624105,-0.23403532386226697,0.23403532386226697,Somerst,8,2709,1
Lasso,Actual,172500,232028.39417750106,-59528.39417750106,-0.34509214015942646,0.34509214015942646,Somerst,8,2709,1
Lasso,Log,172500,212061.82511229118,-39561.825112291175,-0.2293439136944416,0.2293439136944416,Somerst,8,2709,1
Ridge,Actual,196500,202535.03530423116,-6035.035304231162,-0.030712647858682756,0.030712647858682756,CollgCr,7,2580,1
Ridge,Log,196500,195124.50883558008,1375.4911644199165,0.00699995503521586,0.00699995503521586,CollgCr,7,2580,1
Lasso,Actual,196500,203501.78205667995,-7001.782056679949,-0.03563247865994885,0.03563247865994885,CollgCr,7,2580,1
Lasso,Log,196500,194779.66955421242,1720.3304457875784,0.00875486231952966,0.00875486231952966,CollgCr,7,2580,1
Ridge,Actual,438780,370343.4756666787,68436.52433332131,0.15597001762459847,0.15597001762459847,StoneBr,10,4355,1
Ridge,Log,438780,397969.17566906486,40810.82433093514,0.09300976418919536,0.09300976418919536,StoneBr,10,4355,1
